iter	Passed	Remaining
0	1	119
1	2	105
2	3	101
3	3	93
4	4	91
5	5	90
6	6	92
7	9	104
8	10	107
9	12	108
10	13	105
11	14	104
12	15	100
13	15	98
14	17	96
15	18	95
16	19	93
17	20	91
18	21	91
19	23	93
20	25	94
21	26	93
22	27	91
23	28	89
24	29	87
25	30	86
26	31	84
27	32	82
28	33	81
29	34	79
30	34	77
31	36	77
32	38	77
33	39	76
34	40	75
35	41	73
36	42	72
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	62
43	48	61
44	49	60
45	51	60
46	52	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	60	49
55	61	48
56	62	47
57	63	46
58	65	45
59	66	44
60	68	43
61	69	42
62	70	41
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	80	29
73	81	28
74	82	27
75	84	26
76	85	25
77	86	24
78	87	23
79	87	21
80	88	20
81	92	20
82	94	19
83	95	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	109	4
96	111	3
97	112	2
98	113	1
99	114	0
